time,x,y
3000.0,160.6,208.1
3004.0,181.2,210.8
3008.0,219.4,212.4
3012.0,242.2,208.6
3016.0,250.0,205.7
3020.0,248.6,205.7
3024.0,242.3,207.9
3028.0,236.0,210.5
3032.0,231.1,212.3
3036.0,229.4,211.2
3040.0,232.0,210.9
3044.0,235.8,209.8
3048.0,237.1,209.4
3052.0,238.1,209.7
3056.0,238.9,210.2
3060.0,240.1,211.3
3064.0,240.2,210.8
3068.0,239.7,210.4
3072.0,240.3,210.9
3076.0,240.7,211.3
3080.0,240.1,210.9
3084.0,239.2,210.4
3088.0,239.0,211.8
3092.0,239.3,211.8
3096.0,239.4,212.0
3100.0,240.2,212.2
3104.0,239.8,212.5
3108.0,240.0,212.6
3112.0,240.1,212.5
3116.0,240.1,212.9
3120.0,239.1,212.7
3124.0,239.4,212.3
3128.0,240.0,213.1
3132.0,240.3,212.8
3136.0,240.2,212.5
3140.0,240.7,212.6
3144.0,240.5,213.0
3148.0,239.9,212.7
3152.0,239.2,212.3
3156.0,240.5,212.6
3160.0,240.0,213.0
3164.0,238.8,212.5
3168.0,239.8,211.9
3172.0,241.2,213.1
3176.0,247.2,213.9
3180.0,269.9,214.9
3184.0,303.3,216.9
3188.0,318.9,215.8
3192.0,316.7,213.7
3196.0,308.7,213.6
3200.0,302.6,214.5
3204.0,300.4,215.7
3208.0,296.9,215.0
3212.0,297.2,214.3
3216.0,299.2,214.2
3220.0,300.2,214.3
3224.0,300.6,215.2
3228.0,301.0,215.4
3232.0,301.4,215.7
3236.0,302.5,216.2
3240.0,302.5,216.0
3244.0,302.6,216.2
3248.0,302.5,216.3
3252.0,303.3,216.8
3256.0,303.4,216.8
3260.0,304.1,217.0
3264.0,303.8,217.6
3268.0,303.2,217.3
3272.0,304.1,218.0
3276.0,303.7,218.0
3280.0,305.1,217.0
3284.0,303.5,216.9
3288.0,303.5,217.5
3292.0,303.7,217.0
3296.0,302.9,217.5
3300.0,303.9,217.4
3304.0,303.6,217.0
3308.0,303.7,217.1
3312.0,303.3,217.7
3316.0,303.5,217.3
3320.0,303.9,217.2
3324.0,303.8,216.6
3328.0,303.4,216.8
3332.0,303.7,216.4
3336.0,303.6,216.5
3340.0,303.0,216.9
3344.0,302.7,216.7
3348.0,302.5,216.5
3352.0,305.0,216.6
3356.0,323.1,218.5
3360.0,349.6,220.0
3364.0,377.1,217.8
3368.0,391.8,217.2
3372.0,390.1,217.4
3376.0,380.4,217.9
3380.0,373.3,217.6
3384.0,370.2,217.5
3388.0,369.5,218.1
3392.0,370.8,218.5
3396.0,372.0,217.9
3400.0,372.4,218.5
3404.0,373.4,218.7
3408.0,374.7,219.6
3412.0,374.7,220.0
3416.0,374.8,219.8
3420.0,374.6,220.2
3424.0,374.8,220.1
3428.0,375.0,219.8
3432.0,375.1,219.8
3436.0,374.7,219.5
3440.0,375.0,219.5
3444.0,374.3,219.8
3448.0,375.0,220.0
3452.0,375.0,219.7
3456.0,375.1,219.7
3460.0,375.1,219.7
3464.0,375.3,219.9
3468.0,375.7,219.0
3472.0,376.0,220.0
3476.0,375.7,220.0
3480.0,375.3,220.2
3484.0,375.8,220.5
3488.0,376.3,220.1
3492.0,376.7,220.1
3496.0,375.8,219.9
3500.0,375.7,219.9
3504.0,376.3,220.0
3508.0,375.9,220.0
3512.0,376.0,220.0
3516.0,376.3,220.0
3520.0,376.3,219.5
3524.0,376.4,219.3
3528.0,376.6,219.4
3532.0,376.5,219.5
3536.0,376.5,219.9
3540.0,376.2,219.4
3544.0,376.8,219.6
3548.0,376.9,219.0
3552.0,377.7,219.1
3556.0,376.9,218.4
3560.0,376.8,217.9
3564.0,376.8,217.7
3568.0,376.8,217.4
3572.0,379.5,217.5
3576.0,389.9,218.2
3580.0,405.1,218.6
3584.0,429.4,218.5
3588.0,441.3,216.8
3592.0,440.7,215.6
3596.0,434.6,215.8
3600.0,428.6,215.0
3604.0,426.7,215.3
3608.0,424.0,215.2
3612.0,424.0,214.5
3616.0,425.3,215.0
3620.0,426.9,214.9
3624.0,426.8,214.4
3628.0,427.8,214.9
3632.0,428.5,215.5
3636.0,428.0,216.1
3640.0,427.4,215.7
3644.0,427.2,216.7
3648.0,427.5,217.7
3652.0,428.7,218.6
3656.0,428.4,218.6
3660.0,427.9,219.0
3664.0,427.5,219.1
3668.0,427.4,219.5
3672.0,427.6,219.8
3676.0,427.3,219.2
3680.0,426.9,219.2
3684.0,427.2,218.5
3688.0,427.3,218.5
3692.0,427.1,217.6
3696.0,427.5,217.0
3700.0,427.5,216.7
3704.0,428.2,217.6
3708.0,427.9,217.1
3712.0,427.9,215.5
3716.0,429.0,215.6
3720.0,428.6,216.2
3724.0,427.8,217.0
3728.0,428.3,217.6
3732.0,427.9,218.2
3736.0,428.1,218.5
3740.0,428.7,218.4
3744.0,428.2,217.5
3748.0,428.0,218.1
3752.0,427.5,217.9
3756.0,430.8,219.1
3760.0,457.5,220.3
3764.0,495.7,218.4
3768.0,543.9,217.0
3772.0,580.8,213.2
3776.0,601.7,209.8
3780.0,614.5,208.1
3784.0,619.0,205.6
3788.0,610.5,207.0
3792.0,594.7,210.0
3796.0,587.5,211.2
3800.0,589.6,210.6
3804.0,594.2,210.3
3808.0,596.8,209.7
3812.0,598.1,209.8
3816.0,598.6,211.8
3820.0,599.2,212.3
3824.0,599.7,212.3
3828.0,600.2,211.5
3832.0,599.0,211.6
3836.0,598.6,212.1
3840.0,598.4,212.6
3844.0,598.0,211.5
3848.0,597.5,212.5
3852.0,597.6,213.1
3856.0,598.7,212.8
3860.0,597.9,213.0
3864.0,597.2,213.4
3868.0,598.4,213.5
3872.0,598.8,213.8
3876.0,598.8,213.7
3880.0,598.4,212.7
3884.0,599.4,212.9
3888.0,599.7,212.9
3892.0,599.4,213.1
3896.0,600.3,212.9
3900.0,599.8,213.6
3904.0,600.6,213.7
3908.0,601.4,214.0
3912.0,601.3,213.5
3916.0,600.2,213.0
3920.0,600.3,213.1
3924.0,601.0,213.4
3928.0,601.5,213.1
3932.0,601.2,213.0
3936.0,601.7,213.4
3940.0,602.3,213.9
3944.0,601.4,213.0
3948.0,601.2,213.2
3952.0,601.8,213.3
3956.0,601.4,213.1
3960.0,601.0,213.9
3964.0,601.0,214.1
3968.0,600.8,214.2
3972.0,600.9,214.6
3976.0,601.4,215.1
