time,x,y,pupil_diameter
2623669,534.8,109.9,1418.0
2623670,534.5,110.2,1419.0
2623671,534.3,110.5,1420.0
2623672,534.4,110.7,1420.0
2623673,534.5,109.7,1420.0
2623674,534.6,107.1,1418.0
2623675,534.6,104.5,1415.0
2623676,534.5,102.9,1412.0
2623677,533.7,102.7,1412.0
2623678,533.0,102.7,1411.0
2623679,532.2,103.1,1411.0
2623680,532.3,103.6,1413.0
2623681,532.5,104.1,1414.0
2623682,532.6,104.4,1415.0
2623683,533.7,104.6,1413.0
2623684,534.7,105.0,1411.0
2623685,535.3,105.7,1408.0
2623686,534.8,107.1,1408.0
2623687,533.7,108.0,1409.0
2623688,533.1,107.5,1411.0
2623689,532.7,106.5,1412.0
2623690,532.6,107.5,1412.0
2623691,531.7,109.6,1413.0
2623692,530.8,111.1,1414.0
2623693,530.3,109.9,1416.0
2623694,530.6,108.7,1416.0
2623695,531.5,108.3,1412.0
2623696,532.5,106.4,1407.0
2623697,533.5,104.5,1406.0
2623698,533.9,101.2,1409.0
2623699,534.0,99.8,1413.0
2623700,531.8,101.4,1413.0
2623701,529.4,104.5,1413.0
2623702,523.9,106.7,1413.0
2623703,516.8,106.6,1415.0
2623704,509.4,106.3,1416.0
2623705,503.1,106.3,1413.0
2623706,495.4,104.1,1409.0
2623707,484.1,101.8,1406.0
2623708,470.6,99.6,1406.0
2623709,461.7,102.2,1406.0
2623710,451.0,104.7,1406.0
2623711,438.1,106.0,1405.0
2623712,423.1,102.5,1404.0
2623713,410.4,94.7,1403.0
2623714,401.8,88.4,1402.0
2623715,390.5,82.9,1401.0
2623716,377.8,81.8,1400.0
2623717,363.0,80.1,1399.0
2623718,352.2,78.2,1398.0
2623719,339.1,75.3,1396.0
2623720,328.7,72.3,1385.0
2623721,315.5,67.9,1374.0
2623722,307.2,64.6,1364.0
2623723,296.1,63.6,1364.0
2623724,287.3,64.4,1364.0
2623725,273.4,63.9,1365.0
2623726,264.0,62.2,1367.0
2623727,249.4,60.1,1369.0
2623728,241.0,59.6,1370.0
2623729,228.5,59.1,1365.0
2623730,223.0,59.2,1359.0
2623731,216.3,59.0,1352.0
2623732,212.1,62.0,1350.0
2623733,207.1,64.8,1350.0
2623734,203.2,69.1,1351.0
2623735,200.7,70.4,1352.0
2623736,199.8,71.5,1349.0
2623737,200.3,71.1,1345.0
2623738,199.0,70.1,1341.0
2623739,196.7,69.4,1340.0
2623740,194.0,68.7,1341.0
2623741,193.4,69.8,1346.0
2623742,194.0,72.1,1351.0
2623743,196.6,72.6,1354.0
2623744,199.4,72.0,1353.0
2623745,200.9,70.1,1351.0
2623746,201.3,71.1,1349.0
2623747,201.8,72.2,1345.0
2623748,201.0,71.5,1344.0
2623749,199.5,69.7,1347.0
2623750,198.2,67.2,1352.0
2623751,198.3,66.4,1351.0
2623752,199.5,66.8,1346.0
2623753,200.6,67.9,1342.0
2623754,199.5,68.1,1347.0
2623755,197.2,67.1,1352.0
2623756,194.8,66.7,1357.0
2623757,194.4,67.8,1357.0
2623758,193.9,68.9,1356.0
2623759,193.5,68.9,1352.0
2623760,193.0,67.7,1347.0
2623761,192.7,67.2,1343.0
2623762,192.3,67.2,1341.0
2623763,191.9,66.8,1343.0
2623764,191.4,65.8,1345.0
2623765,191.8,67.4,1346.0
2623766,191.6,70.0,1342.0
2623767,192.0,71.1,1336.0
2623768,191.4,69.5,1329.0
2623769,191.9,68.1,1325.0
2623770,192.9,67.4,1323.0
2623771,193.9,66.7,1327.0
2623772,193.9,67.6,1334.0
2623773,192.9,69.1,1341.0
2623774,192.3,70.4,1340.0
2623775,193.9,71.2,1332.0
2623776,195.5,72.1,1324.0
2623777,196.4,73.2,1326.0
2623778,195.9,73.2,1333.0
2623779,195.6,71.1,1338.0
2623780,195.8,69.0,1334.0
2623781,196.2,67.0,1332.0
2623782,195.8,67.8,1334.0
2623783,194.5,68.6,1338.0
2623784,193.2,69.3,1334.0
2623785,192.1,67.2,1325.0
2623786,191.6,65.3,1315.0
2623787,193.2,63.5,1314.0
2623788,194.5,68.4,1316.0
2623789,196.7,73.4,1322.0
2623790,197.4,74.8,1327.0
2623791,199.8,71.6,1330.0
2623792,201.4,67.6,1326.0
2623793,202.3,67.0,1322.0
2623794,202.1,66.2,1318.0
2623795,201.2,66.2,1318.0
2623796,198.5,70.4,1323.0
2623797,195.9,74.7,1327.0
2623798,194.0,75.1,1325.0
2623799,193.9,71.1,1318.0
2623800,194.1,67.1,1312.0
2623801,194.2,68.1,1312.0
2623802,194.3,69.0,1312.0
2623803,194.2,69.8,1314.0
2623804,194.1,69.6,1320.0
2623805,194.1,69.4,1327.0
2623806,194.1,69.2,1329.0
2623807,194.2,69.0,1324.0
2623808,196.4,69.1,1315.0
2623809,198.8,67.8,1308.0
2623810,200.3,66.5,1303.0
2623811,198.8,65.4,1302.0
2623812,197.1,65.7,1297.0
2623813,196.1,66.2,1295.0
2623814,195.8,65.7,1290.0
2623815,195.5,65.1,1288.0
2623816,195.6,64.4,1290.0
2623817,195.8,64.3,1293.0
2623818,194.8,64.3,1296.0
2623819,193.3,66.2,1297.0
2623820,192.1,68.2,1298.0
2623821,192.2,70.1,1298.0
2623822,193.6,70.9,1295.0
2623823,194.8,71.5,1298.0
2623824,194.4,71.1,1302.0
2623825,193.0,70.0,1306.0
2623826,195.6,69.4,1303.0
2623827,200.2,66.0,1296.0
2623828,203.8,62.6,1290.0
2623829,203.5,59.2,1287.0
2623830,202.6,59.8,1289.0
2623831,199.4,63.1,1295.0
2623832,196.1,66.1,1301.0
2623833,192.6,68.8,1304.0
2623834,192.5,68.8,1302.0
2623835,192.5,68.8,1300.0
2623836,192.8,68.7,1301.0
2623837,193.2,69.4,1301.0
2623838,193.8,70.1,1301.0
2623839,196.1,70.6,1292.0
2623840,198.3,69.7,1283.0
2623841,200.5,68.1,1275.0
2623842,201.2,65.7,1276.0
2623843,201.5,63.7,1277.0
2623844,198.3,63.1,1289.0
2623845,194.9,63.6,1301.0
2623846,192.8,64.5,1310.0
2623847,193.7,65.0,1307.0
2623848,194.4,66.2,1304.0
2623849,193.9,67.1,1302.0
2623850,193.3,69.2,1301.0
2623851,192.5,70.5,1300.0
2623852,192.5,69.1,1300.0
2623853,193.6,66.3,1298.0
2623854,195.4,62.7,1293.0
2623855,196.8,62.0,1282.0
2623856,197.1,60.5,1273.0
2623857,197.0,59.8,1267.0
2623858,197.6,60.3,1269.0
2623859,198.5,61.6,1271.0
2623860,199.3,63.0,1272.0
2623861,198.9,63.0,1273.0
2623862,198.3,63.3,1274.0
2623863,197.2,63.5,1276.0
2623864,196.1,62.2,1280.0
2623865,195.1,60.6,1285.0
2623866,195.0,60.2,1290.0
2623867,195.9,61.7,1285.0
2623868,197.0,63.2,1279.0
2623869,198.4,61.7,1274.0
2623870,199.2,59.9,1274.0
2623871,197.5,58.1,1279.0
2623872,194.8,60.6,1284.0
2623873,192.9,63.3,1282.0
2623874,194.1,66.4,1277.0
2623875,196.0,67.0,1271.0
2623876,198.7,67.5,1270.0
2623877,200.7,67.5,1270.0
2623878,199.6,67.8,1270.0
2623879,197.1,68.1,1270.0
2623880,194.4,68.5,1270.0
2623881,194.5,69.1,1269.0
2623882,195.0,69.7,1269.0
2623883,196.1,67.8,1264.0
2623884,196.7,65.3,1259.0
2623885,196.5,62.7,1257.0
2623886,195.7,62.6,1259.0
2623887,196.6,64.4,1262.0
2623888,198.1,66.2,1261.0
2623889,200.0,66.0,1260.0
2623890,200.5,63.9,1255.0
2623891,199.2,62.4,1251.0
2623892,198.1,62.9,1247.0
2623893,197.0,63.6,1247.0
2623894,197.7,63.9,1246.0
2623895,197.6,65.9,1246.0
2623896,198.4,67.9,1247.0
2623897,199.2,69.3,1247.0
2623898,200.0,68.6,1247.0
2623899,199.7,67.5,1249.0
2623900,199.4,64.9,1253.0
2623901,198.3,62.5,1258.0
2623902,197.0,62.7,1260.0
2623903,195.9,64.9,1257.0
2623904,196.6,64.7,1254.0
2623905,197.8,62.1,1253.0
2623906,198.1,60.0,1256.0
2623907,197.5,61.0,1255.0
2623908,197.1,62.1,1250.0
2623909,196.6,62.5,1244.0
2623910,196.1,62.3,1240.0
2623911,195.5,62.1,1239.0
2623912,195.5,61.9,1239.0
2623913,195.4,61.6,1239.0
2623914,195.3,60.5,1241.0
2623915,194.7,59.5,1242.0
2623916,193.8,58.5,1244.0
2623917,189.0,59.9,1244.0
2623918,183.3,61.4,1243.0
2623919,176.5,62.7,1243.0
2623920,169.9,63.1,1243.0
2623921,163.7,63.5,1243.0
2623922,158.4,64.0,1243.0
2623923,153.2,64.8,1238.0
2623924,149.0,65.5,1234.0
2623925,144.8,65.7,1229.0
2623926,143.0,64.3,1229.0
2623927,139.0,62.6,1229.0
2623928,136.4,62.8,1229.0
2623929,134.8,63.6,1231.0
2623930,135.4,64.6,1232.0
2623931,135.1,66.9,1230.0
2623932,134.9,69.4,1225.0
2623933,136.2,72.5,1220.0
2623934,137.7,73.2,1221.0
2623935,140.1,72.3,1224.0
2623936,141.1,70.9,1227.0
2623937,142.1,69.5,1228.0
2623938,142.4,69.1,1227.0
2623939,142.6,69.0,1226.0
2623940,142.7,69.0,1226.0
2623941,141.4,69.7,1229.0
2623942,140.1,69.8,1233.0
2623943,139.4,68.5,1237.0
2623944,140.4,67.9,1231.0
2623945,141.3,67.3,1223.0
2623946,140.6,68.2,1214.0
2623947,139.6,68.2,1219.0
2623948,138.8,67.7,1226.0
2623949,139.2,67.4,1233.0
2623950,139.9,67.0,1231.0
2623951,140.8,66.9,1229.0
2623952,141.0,66.8,1224.0
2623953,140.5,66.7,1221.0
2623954,139.4,66.8,1218.0
2623955,138.9,65.4,1216.0
2623956,138.8,63.9,1214.0
2623957,138.6,62.0,1213.0
2623958,138.0,61.7,1211.0
2623959,136.8,63.7,1210.0
2623960,136.3,65.7,1209.0
2623961,135.9,67.5,1213.0
2623962,136.0,66.9,1220.0
2623963,136.5,66.8,1225.0
2623964,137.0,67.0,1222.0
2623965,137.1,69.3,1216.0
2623966,136.7,71.4,1211.0
2623967,136.8,72.2,1211.0
2623968,137.2,71.3,1211.0
2623969,137.5,70.4,1207.0
2623970,137.5,70.7,1204.0
2623971,137.9,70.5,1201.0
2623972,138.7,70.5,1200.0
2623973,139.5,70.6,1201.0
2623974,139.7,70.6,1200.0
2623975,137.3,70.2,1198.0
2623976,135.1,69.3,1194.0
2623977,134.4,68.8,1199.0
2623978,135.4,68.7,1209.0
2623979,136.4,69.0,1220.0
2623980,136.2,68.3,1216.0
2623981,136.5,67.4,1207.0
2623982,136.9,66.6,1196.0
2623983,136.8,67.2,1194.0
2623984,137.6,68.4,1197.0
2623985,138.3,69.5,1204.0
2623986,139.0,69.8,1211.0
2623987,138.7,68.9,1210.0
2623988,138.1,67.3,1208.0
2623989,137.7,65.5,1207.0
2623990,137.6,64.2,1206.0
2623991,137.7,64.0,1206.0
2623992,138.4,64.5,1206.0
2623993,138.8,65.0,1195.0
